BPOS,V1,A1,V2,A2,V3,A3,V4,A4,V5,A5,V6,A6,V7,A7,V8,A8,V9,A9,V10,A10,V11,A11,V12,A12,V13,A13,V14,A14,APP_AMPS,CLMBS,FRNT,ROOF,RH_WNG,LH_WNG,REAR
34,0,0,0,0,231,211,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,211,3120,5.975970592,11.01178007,6.596398574,6.334187108,181.0816637
35,0,0,0,0,218,211,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,211,3542,5.957901713,11.70530134,6.962110016,6.446598361,179.9280886
36,0,0,0,0,204,211,1,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,211,3964,5.940610074,12.50395197,6.76689788,6.631486651,179.1570534
37,0,0,0,0,193,211,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,211,4386,5.670426019,13.8005334,6.415825178,6.292864088,178.8203513
38,0,0,0,0,191,208,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,173,19,1,0,227,4840,6.168466446,23.77656508,7.15396884,6.809544671,183.091455
39,0,0,0,0,197,211,1,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,290,57,0,0,268,5376,7.077651828,36.70622058,8.651082169,8.26725715,207.2977883
40,0,0,0,0,190,210,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,290,60,1,0,270,5916,7.2520772,44.0110366,9.526279692,8.668233797,200.5423727
41,0,0,0,0,184,210,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,290,65,1,0,275,6466,6.698019006,47.66777737,9.748776363,8.676002464,202.2094248
42,0,0,0,0,178,210,155,1,1,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,290,69,1,0,280,7026,7.109769448,53.64646061,11.83531808,9.601599239,197.8068526
43,0,0,0,0,181,210,264,68,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,290,35,1,0,313,7652,7.853270225,61.25669861,20.84477315,11.86372572,211.1815323
44,0,0,0,0,178,210,265,75,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,290,36,1,0,321,8294,7.554046068,60.28725749,39.70153154,16.78533392,196.671831
45,0,0,0,0,176,210,265,83,1,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,290,37,1,0,330,8954,7.937621101,59.00425212,49.67131552,36.09143371,177.2953776
46,0,0,0,0,175,210,265,91,1,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,290,39,0,0,340,9634,8.804377926,59.86715908,57.04091685,47.52809592,166.7594502
47,0,0,0,0,174,210,265,100,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,290,41,1,0,351,10336,11.34867146,60.23440429,60.77216218,53.44531143,165.1994506
48,0,0,0,0,175,210,265,109,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,290,43,1,0,362,11060,17.15020017,61.01263313,63.200584,57.35162834,163.2849544
49,0,0,0,0,176,209,265,119,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,290,45,1,0,373,11806,23.09005124,63.84569187,67.44524292,62.54050085,156.0785131
50,0,0,0,0,179,210,264,130,1,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,290,47,1,0,387,12580,30.73678633,66.83009503,71.32370324,67.1896574,150.919758
51,0,0,0,0,183,209,265,141,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,290,50,0,0,400,13380,40.76823555,67.99834243,72.48173684,69.25753029,149.4941549
