V1,A1,V2,A2,V3,A3,V4,A4,V5,A5,V6,A6,V7,A7,V8,A8,V9,A9,V10,A10,V11,A11,V12,A12,V13,A13,V14,A14,Front_V,Roof_V,RHWing_V,LHWing_V,Rear_V
0,0,0,0,177.75,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.418379686,3.689850384,2.422285022,2.365136876,65.74149109
0,0,0,0,167.75,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.468762596,3.841488071,2.523213565,2.415458937,62.70259319
0,0,0,0,160.5,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.5,4,0,0,2.569528416,4.195309341,2.72507065,2.566425121,70.09724473
0,0,0,0,168.5,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,49,0,0,2.871825877,4.599676506,2.977392006,2.717391304,81.18922204
0,0,0,0,168.75,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,79,0,0,2.972591697,4.801860089,3.280177634,2.96900161,82.2528363
0,0,0,0,163,208,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279.5,81,0,0,3.174123337,5.661140315,3.582963262,3.170289855,82.80996759
0,0,0,0,158.25,208,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275.5,84,0,0,3.476420798,9.452082491,4.138070246,3.572866345,85.2917342
0,0,0,0,158.5,208,215.25,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284.5,80,0,0,4.030632809,17.43833401,5.04642713,4.327697262,101.7524311
0,0,0,0,159.75,208,265,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,56,0,0,4.635227731,22.44237768,6.964069439,5.787037037,109.3496759
0,0,0,0,159,208,265,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,57,0,0,5.542120113,26.68823292,9.790068631,9.208937198,116.9469206
0,0,0,0,159.5,208,265,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,59,0,0,6.902458686,30.98463405,18.01574485,18.97141707,124.7467585
0,0,0,0,160,208,265,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,62,0,0,9.320838372,35.28103518,28.36092047,28.83454106,131.7362237
0,0,0,0,161.5,208,265,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,64,0,0,14.35912938,39.83016579,35.88009689,35.47705314,137.7633712
0,0,0,0,164,208,265,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,67,0,0,20.85852479,44.83420946,42.03673799,41.41505636,142.4230146
0,0,0,0,168,208,264.25,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,70,0,0,28.66787586,49.83825313,47.84012919,47.65499195,145.8670989
0,0,0,0,173.75,208,263,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,75,0,0,38.74445788,54.9433886,53.7949132,54.24718196,148.2982172
0,0,0,0,182.75,208,260.75,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,78,0,0,51.84401451,59.94743227,59.5983044,60.99033816,149.8683144
0,0,0,0,194,208,259,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,82,0,0,67.91616284,65.20420542,64.89705289,67.33091787,150.7799838
0,0,0,0,206.75,208,257.5,176,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,85,0,0,86.00362757,70.51152446,69.64069439,72.86634461,150.2735008
0,0,0,0,223.5,208,256.5,185,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,87,0,0,101.471181,75.56611403,73.22365765,76.84178744,152.7552674
0,0,0,0,229.25,192,257.25,176,258.5,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.5,78,0,0,111.2454655,80.36797412,75.99919257,79.45853462,162.3277958
0,0,0,0,233.75,177,257.25,181,265,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,76,0,0,116.586054,85.16983421,79.53169156,82.9810789,163.7459481
0,0,0,0,237.75,167,259,178,265,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,76,0,0,117.4929464,89.9716943,83.56883327,86.80555556,165.2653971
0,0,0,0,240,153,259.75,179,265,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,76,0,0,120.5663039,93.76263647,85.7892612,88.51650564,167.7471637
0,0,0,0,240,134,260,183,265,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.5,77,0,0,122.6320032,97.40194096,88.91804602,91.284219,168.5575365
